MAGs	count	percentage
GFS_12588	87033.668	0.000396708
GFS_1260	2231064.726	0.010169412
GFS_12610	411.2139642	1.87435E-06
GFS_12611	382.5402884	1.74366E-06
GFS_12613	114707.8552	0.00052285
GFS_12614	1094.346327	4.98814E-06
GFS_12617	1301.75188	5.93351E-06
GFS_1262	218298.4396	0.000995026
GFS_12623	345.9067831	1.57668E-06
GFS_12627	45953.26962	0.00020946
GFS_12632	290.5636215	1.32442E-06
GFS_12635	410.6679308	1.87186E-06
GFS_12636	26207.22655	0.000119455
GFS_12637	2705.437659	1.23317E-05
GFS_12642	490.548206	2.23597E-06
GFS_12648	2458.811318	1.12075E-05
GFS_12651	28166.19703	0.000128384
GFS_12657	1931.53156	8.80411E-06
GFS_12663	76701.07325	0.000349611
GFS_12665	84113.21368	0.000383396
GFS_12672	29055.4403	0.000132438
GFS_12677	45989.46688	0.000209625
GFS_1268	127939.2692	0.00058316
GFS_12690	11531.555	5.2562E-05
GFS_12693	4796.29392	2.1862E-05
GFS_12695	47963.59883	0.000218623
GFS_12697	25230.2227	0.000115002
GFS_12699	745.7021358	3.39898E-06
GFS_12702	24755.9184	0.00011284
GFS_12741	471777.6358	0.002150409
GFS_12750	20807.4966	9.48426E-05
GFS_12755	25685.46553	0.000117077
GFS_12757	12457.70606	5.67834E-05
GFS_12766	37381.61928	0.000170389
GFS_12774	184613.9527	0.000841489
GFS_12806	68439.96643	0.000311956
GFS_12818	12247.71682	5.58263E-05
GFS_12820	14089.18155	6.42199E-05
GFS_12822	271.8728947	1.23922E-06
GFS_12823	14352.76667	6.54213E-05
GFS_12824	47835.28025	0.000218038
GFS_12825	2600.381041	1.18528E-05
GFS_12827	23058.06908	0.000105101
GFS_12838	5473.243047	2.49476E-05
GFS_12839	31944.70444	0.000145607
GFS_1284	19126.40702	8.718E-05
GFS_12842	30526.91051	0.000139145
GFS_12844	15012.97978	6.84306E-05
GFS_12847	57799.48949	0.000263456
GFS_12854	68537.46896	0.000312401
GFS_12863	25846.61964	0.000117811
GFS_12864	20213.64537	9.21358E-05
GFS_12865	1002.121011	4.56777E-06
GFS_12867	14447.20116	6.58518E-05
GFS_12873	1590.076635	7.24773E-06
GFS_12874	13019.09124	5.93423E-05
GFS_12876	29846.62382	0.000136044
GFS_12895	151284.0923	0.000689568
GFS_12908	87651.42823	0.000399524
GFS_12931	3112.42745	1.41868E-05
GFS_12941	123565.8732	0.000563225
GFS_12943	75460.77038	0.000343958
GFS_12945	31121.84036	0.000141856
GFS_12946	16493.90765	7.51809E-05
GFS_12952	1827.245999	8.32877E-06
GFS_12961	13613.77071	6.20529E-05
GFS_12962	507.257413	2.31213E-06
GFS_12964	36837.96883	0.000167911
GFS_12979	16477.80549	7.51075E-05
GFS_12990	146696.0724	0.000668655
GFS_12994	184176.8009	0.000839496
GFS_130	76364.53962	0.000348077
GFS_13015	55962.86056	0.000255084
GFS_13018	14451.08311	6.58695E-05
GFS_13021	7643.641474	3.48405E-05
GFS_13026	5139.952136	2.34284E-05
GFS_13027	12016.17047	5.47709E-05
GFS_13029	27670.96693	0.000126127
GFS_13036	12015.41592	5.47674E-05
GFS_13052	501618.0381	0.002286424
GFS_13068	223658.8265	0.001019459
GFS_13091	45983.60598	0.000209598
GFS_13097	103970.0803	0.000473906
GFS_13110	24393.22874	0.000111187
GFS_13111	13651.8969	6.22267E-05
GFS_13147	10488.96291	4.78097E-05
GFS_13148	1385.556071	6.3155E-06
GFS_13151	135902.2333	0.000619456
GFS_13179	30438.28092	0.000138741
GFS_1318	126292.8945	0.000575655
GFS_13184	27737.36539	0.00012643
GFS_13224	32719.91294	0.000149141
GFS_13241	50965.97135	0.000232308
GFS_13250	859.2748646	3.91666E-06
GFS_13257	27645.71304	0.000126012
GFS_13261	4610.818869	2.10166E-05
GFS_13270	568407.2755	0.002590856
GFS_13292	67325.45714	0.000306876
GFS_13294	23236.82563	0.000105916
GFS_13312	37492.97706	0.000170897
GFS_13321	28867.19297	0.00013158
GFS_13326	35631.59021	0.000162412
GFS_13345	1919.61488	8.74979E-06
GFS_13349	27584.40009	0.000125732
GFS_13363	323497.3779	0.001474533
GFS_13365	2239.4485	1.02076E-05
GFS_13367	23949.01205	0.000109162
GFS_13369	45097.99994	0.000205561
GFS_13375	5886.578749	2.68316E-05
GFS_13377	8545.715999	3.89522E-05
GFS_13380	124115.1489	0.000565729
GFS_13386	27218.97007	0.000124067
GFS_13392	13365.29669	6.09203E-05
GFS_134	403923.5794	0.001841123
GFS_13403	45004.45823	0.000205135
GFS_13404	7361.089284	3.35526E-05
GFS_13405	49616.67536	0.000226158
GFS_13406	224024.0099	0.001021123
GFS_13408	25654.09012	0.000116934
GFS_13420	16495.02713	7.5186E-05
GFS_13427	133832.0844	0.00061002
GFS_13433	111359.9671	0.00050759
GFS_13436	163434.4412	0.00074495
GFS_13437	165590.383	0.000754777
GFS_13466	36597.69913	0.000166816
GFS_13478	23030.76332	0.000104976
GFS_13507	4175.56127	1.90326E-05
GFS_13508	1623.053016	7.39804E-06
GFS_13514	23678.58533	0.000107929
GFS_13516	241.1114208	1.09901E-06
GFS_13521	24865.33498	0.000113339
GFS_13524	6049.471131	2.75741E-05
GFS_13525	92134.96267	0.00041996
GFS_13534	244937.5072	0.001116449
GFS_13542	125561.8807	0.000572323
GFS_13543	35640.88174	0.000162455
GFS_13572	54619.15835	0.000248959
GFS_13576	11093.07637	5.05633E-05
GFS_13579	42455.62638	0.000193517
GFS_13581	26646.16234	0.000121456
GFS_1363	56672.38724	0.000258318
GFS_13630	8171.992293	3.72487E-05
GFS_13631	86298.00932	0.000393355
GFS_13645	56257.79792	0.000256429
GFS_13648	51362.62687	0.000234116
GFS_1365	39059.5086	0.000178037
GFS_1368	47115.28031	0.000214756
GFS_13682	38681.29397	0.000176313
GFS_13688	7643.679087	3.48406E-05
GFS_13693	156729.9233	0.00071439
GFS_13726	2594.655235	1.18267E-05
GFS_13741	1678739.081	0.007651858
GFS_13748	138260.1177	0.000630203
GFS_13754	185456.1598	0.000845327
GFS_13757	85400.83781	0.000389265
GFS_1376	277680.0991	0.001265693
GFS_1377	321.0454292	1.46336E-06
GFS_13822	423557.3156	0.001930616
GFS_1383	775.9757443	3.53697E-06
GFS_1384	23366.36529	0.000106506
GFS_13853	9247.391955	4.21505E-05
GFS_13857	9625.034837	4.38719E-05
GFS_13862	4622.21924	2.10685E-05
GFS_13870	86117.15021	0.00039253
GFS_13875	124521.4869	0.000567581
GFS_13877	105059.0239	0.000478869
GFS_13879	28409.85951	0.000129495
GFS_13892	8553.73685	3.89888E-05
GFS_13914	104705.914	0.00047726
GFS_13943	30325.27511	0.000138226
GFS_13946	26629.10695	0.000121378
GFS_13950	2097.837669	9.56215E-06
GFS_13951	50364.66065	0.000229567
GFS_13956	49398.60662	0.000225164
GFS_13965	92986.8567	0.000423843
GFS_13968	6524.488643	2.97393E-05
GFS_13969	33304.97247	0.000151807
GFS_14001	14825.62564	6.75767E-05
GFS_14015	799506.5163	0.003644229
GFS_14041	44848.8804	0.000204426
GFS_14050	33931.8599	0.000154665
GFS_14056	155964.1046	0.0007109
GFS_14070	974315.8725	0.004441027
GFS_1408	2850.515642	1.29929E-05
GFS_14120	52873.23212	0.000241001
GFS_14122	9887.311076	4.50673E-05
GFS_14130	16333.36273	7.44491E-05
GFS_14139	29558.05889	0.000134729
GFS_14147	45267.30346	0.000206333
GFS_14183	106448.719	0.000485204
GFS_14214	30049.39527	0.000136968
GFS_14245	7049.927487	3.21343E-05
GFS_14252	122010.147	0.000556134
GFS_14271	15809.53471	7.20614E-05
GFS_14275	91937.17116	0.000419059
GFS_14374	56419.5811	0.000257166
GFS_14377	189096.3093	0.00086192
GFS_14379	1904.385086	8.68037E-06
GFS_14381	48822.53038	0.000222538
GFS_14385	92118.40642	0.000419885
GFS_14390	25053.7359	0.000114197
GFS_14393	397.7388016	1.81293E-06
GFS_14397	206181.5923	0.000939796
GFS_14424	1064291.973	0.004851147
GFS_14456	60012.13313	0.000273541
GFS_14463	13029.79264	5.93911E-05
GFS_14465	157417.0065	0.000717522
GFS_14476	131752.7881	0.000600542
GFS_14486	77.09136311	3.5139E-07
GFS_14498	42033.02162	0.000191591
GFS_1458	120209.0406	0.000547925
GFS_1472	100966.5454	0.000460215
GFS_1477	281370.0738	0.001282512
GFS_1480	57653.006	0.000262788
GFS_1495	69997.80793	0.000319057
GFS_1500	483168.9536	0.002202332
GFS_1516	85332.8757	0.000388956
GFS_1518	1146.328999	5.22508E-06
GFS_1524	179971.648	0.000820328
GFS_155	40501.81554	0.000184611
GFS_157	45322.98495	0.000206587
GFS_159	307133.3673	0.001399944
GFS_1590	10547.87012	4.80782E-05
GFS_1591	14526.44866	6.6213E-05
GFS_1593	19654.15734	8.95856E-05
GFS_1599	159567.7296	0.000727325
GFS_1600	72205.96894	0.000329122
GFS_1601	89900.7969	0.000409777
GFS_1602	6714.835141	3.06069E-05
GFS_1605	26149.95655	0.000119194
GFS_1607	84579.47697	0.000385522
GFS_162	272736.0286	0.001243158
GFS_1629	138234.5067	0.000630086
GFS_1649	126091.3876	0.000574737
GFS_1653	2209.550257	1.00713E-05
GFS_1656	18759.23032	8.55064E-05
GFS_1657	67401.49775	0.000307223
GFS_1658	239850.9092	0.001093264
GFS_1662	1566.468135	7.14012E-06
GFS_167	9566.12003	4.36033E-05
GFS_1675	28322.22668	0.000129095
GFS_1677	103519.5233	0.000471852
GFS_168	99303.51736	0.000452635
GFS_1694	4499.259412	2.05081E-05
GFS_1696	1154.495549	5.2623E-06
GFS_1709	8838.65065	4.02874E-05
GFS_171	89620.24581	0.000408498
GFS_1749	58614.77668	0.000267172
GFS_1750	4627.704359	2.10935E-05
GFS_1761	97648.30207	0.000445091
GFS_1762	5094.443504	2.3221E-05
GFS_1765	56968.85721	0.00025967
GFS_1770	358644.3275	0.001634736
GFS_1789	1011527.838	0.004610643
GFS_179	11454.24255	5.22096E-05
GFS_1826	1145.751614	5.22245E-06
GFS_1844	104613.8101	0.00047684
GFS_1849	125204.4426	0.000570694
GFS_190	103057.5239	0.000469746
GFS_1901	64886.73794	0.00029576
GFS_1902	1773.395297	8.08331E-06
GFS_1911	162662.0319	0.00074143
GFS_1913	617322.3678	0.002813816
GFS_1943	191684.6237	0.000873717
GFS_195	394214.2177	0.001796867
GFS_1973	128342.2475	0.000584997
GFS_1994	24965.03564	0.000113793
GFS_1997	158478.3172	0.00072236
GFS_2025	28551.56196	0.000130141
GFS_203	59337.48823	0.000270466
GFS_2032	60125.43109	0.000274058
GFS_2040	10049.15369	4.5805E-05
GFS_2050	16438.48665	7.49282E-05
GFS_2051	67164.21878	0.000306141
GFS_2055	59346.69814	0.000270508
GFS_2058	14319.97198	6.52718E-05
GFS_2073	210883.1387	0.000961226
GFS_2100	13626.08146	6.2109E-05
GFS_2103	16813.20263	7.66362E-05
GFS_2106	42136.24467	0.000192061
GFS_2111	16812.48785	7.6633E-05
GFS_2112	16777.44633	7.64732E-05
GFS_2113	179553.6494	0.000818423
GFS_2120	7046.153005	3.21171E-05
GFS_2122	121339.677	0.000553078
GFS_2127	7823.320688	3.56595E-05
GFS_2131	39029.24193	0.000177899
GFS_2134	5667.803844	2.58344E-05
GFS_2135	33772.49411	0.000153938
GFS_2136	53117.41814	0.000242114
GFS_2138	40729.43793	0.000185649
GFS_2143	81401.47237	0.000371036
GFS_2145	116919.4633	0.00053293
GFS_2147	138714.4317	0.000632274
GFS_2151	54945.95397	0.000250449
GFS_2165	744373.2582	0.003392926
GFS_2166	4694.809268	2.13994E-05
GFS_2167	15479.32044	7.05563E-05
GFS_2183	1426.442718	6.50187E-06
GFS_2191	21426.62397	9.76647E-05
GFS_2200	5221.625022	2.38007E-05
GFS_2205	39220.91482	0.000178773
GFS_2207	3189.171369	1.45366E-05
GFS_2208	44945.18435	0.000204865
GFS_2209	3635.760049	1.65722E-05
GFS_2210	51099.3682	0.000232916
GFS_2216	13460.49881	6.13543E-05
GFS_2217	55860.31591	0.000254617
GFS_2219	121366.8978	0.000553202
GFS_2221	54497.87326	0.000248407
GFS_223	252434.8026	0.001150623
GFS_2231	8065.888269	3.67651E-05
GFS_2232	85387.94133	0.000389207
GFS_2254	45475.79037	0.000207283
GFS_2255	160497.5061	0.000731563
GFS_2258	19524.16178	8.8993E-05
